  days  vol_upper      vol_lower      vol_drain      vol_macro      del_vol_upper  del_vol_lower  del_vol_drain  del_vol_macro  rainfall       irrigation     drain_upper    macro_upper    drain_lower    overflow_lower total_rech     gw_withdrawal  net_recharge   runoff         pot_evap_upper evap_upper     pot_evap_lower evap_lower     gw_pot_evap    balance        elevation      depth-to-water 
     0  0.2500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       2.000000      -2.000000    
    31  0.2483262       0.000000      6.7709567E-03   0.000000     -1.6738018E-03   0.000000      6.7709567E-03   0.000000      7.0799998E-02   0.000000      3.1295887E-02   0.000000       0.000000       0.000000      3.1295887E-02   0.000000      3.1295887E-02   0.000000      7.6450000E-02  3.4406956E-02   0.000000       0.000000      4.2043044E-02 -1.7347235E-17   1.991623      -1.991623    
    59  0.1979713       0.000000      2.2952994E-03   0.000000     -5.0354899E-02   0.000000     -4.4756572E-03   0.000000      6.8000001E-03   0.000000      2.5942580E-02   0.000000       0.000000       0.000000      2.5942580E-02   0.000000      2.5942580E-02   0.000000      8.9700002E-02  3.5687976E-02   0.000000       0.000000      5.4012026E-02 -1.8301333E-16   1.730762      -1.730762    
    90  0.1752761       0.000000      9.6455966E-04   0.000000     -2.2695185E-02   0.000000     -1.3307398E-03   0.000000      2.1800000E-02   0.000000      9.6039547E-03   0.000000       0.000000       0.000000      9.6039547E-03   0.000000      9.6039547E-03   0.000000      0.1169500      3.6221970E-02   0.000000       0.000000      8.0728031E-02  4.5970172E-17   1.606532      -1.606532    
   120  0.2173757       0.000000      3.5205093E-03   0.000000      4.2099626E-02   0.000000      2.5559496E-03   0.000000      0.1022000       0.000000      1.7083580E-02   0.000000       0.000000       0.000000      1.7083580E-02   0.000000      1.7083580E-02   0.000000      0.1057000      4.0460845E-02   0.000000       0.000000      6.5239156E-02 -1.5005358E-16   1.833459      -1.833459    
   151  0.2095181       0.000000      3.3339721E-03   0.000000     -7.8576160E-03   0.000000     -1.8653717E-04   0.000000      9.9800002E-02   0.000000      3.6053771E-02   0.000000       0.000000       0.000000      3.6053771E-02   0.000000      3.6053771E-02   0.000000      0.1655000      7.1790384E-02   0.000000       0.000000      9.3709617E-02 -2.6888214E-17   1.792231      -1.792231    
   181  0.1258619       0.000000      3.1740082E-04   0.000000     -8.3656219E-02   0.000000     -3.0165713E-03   0.000000      6.0000003E-04   0.000000      9.3707341E-03   0.000000       0.000000       0.000000      9.3707341E-03   0.000000      9.3707341E-03   0.000000      0.2764000      7.7902056E-02   0.000000       0.000000      0.1984979     -5.2475385E-17   1.316034      -1.316034    
   212  7.9396809E-02   0.000000      3.7845703E-05   0.000000     -4.6465096E-02   0.000000     -2.7955511E-04   0.000000       0.000000       0.000000      9.2883205E-04   0.000000       0.000000       0.000000      9.2883205E-04   0.000000      9.2883205E-04   0.000000      0.2715000      4.5815819E-02   0.000000       0.000000      0.2256842     -5.5402731E-17   1.004117      -1.004117    
   243  5.3835768E-02   0.000000      6.3960719E-06   0.000000     -2.5561041E-02   0.000000     -3.1449631E-05   0.000000      4.0000002E-04   0.000000      1.2364698E-04   0.000000       0.000000       0.000000      1.2364698E-04   0.000000      1.2364698E-04   0.000000      0.2398750      2.5868844E-02   0.000000       0.000000      0.2140062     -5.0347638E-17  0.8037476     -0.8037476    
   273  5.6739996E-02   0.000000      4.7396397E-06   0.000000      2.9042281E-03   0.000000     -1.6564323E-06   0.000000      1.6400000E-02   0.000000      2.5666105E-05   0.000000       0.000000       0.000000      2.5666105E-05   0.000000      2.5666105E-05   0.000000      0.1657750      1.3471762E-02   0.000000       0.000000      0.1523032     -2.8741522E-17  0.8280848     -0.8280848    
   304  5.7080643E-02   0.000000      7.6504983E-06   0.000000      3.4064721E-04   0.000000      2.9108586E-06   0.000000      1.1200000E-02   0.000000      3.7259271E-05   0.000000       0.000000       0.000000      3.7259271E-05   0.000000      3.7259271E-05   0.000000      0.1195000      1.0819183E-02   0.000000       0.000000      0.1086808      2.1257139E-17  0.8309080     -0.8309080    
   334  9.9193524E-02   0.000000      8.3607090E-05   0.000000      4.2112881E-02   0.000000      7.5956592E-05   0.000000      5.0200001E-02   0.000000      1.1126367E-04   0.000000       0.000000       0.000000      1.1126367E-04   0.000000      1.1126367E-04   0.000000      6.8500001E-02  7.8999004E-03   0.000000       0.000000      6.0600100E-02 -3.1550283E-17   1.143237      -1.143237    
   365  0.2657795       0.000000      9.2457964E-03   0.000000      0.1665860       0.000000      9.1621893E-03   0.000000      0.2014000       0.000000      6.2337477E-03   0.000000       0.000000       0.000000      6.2337477E-03   0.000000      6.2337477E-03   0.000000      6.5300001E-02  1.9418103E-02   0.000000       0.000000      4.5881898E-02  2.2551405E-17   2.078173      -2.078173    
   396  0.2529413       0.000000      7.5639746E-03   0.000000     -1.2838144E-02   0.000000     -1.6818218E-03   0.000000      8.9200002E-02   0.000000      6.0077032E-02   0.000000       0.000000       0.000000      6.0077032E-02   0.000000      6.0077032E-02   0.000000      8.7550001E-02  4.3642936E-02   0.000000       0.000000      4.3907065E-02  1.7867652E-16   2.014681      -2.014681    
   424  0.2363351       0.000000      5.3134023E-03   0.000000     -1.6606207E-02   0.000000     -2.2505723E-03   0.000000      4.8400001E-02   0.000000      4.0202055E-02   0.000000       0.000000       0.000000      4.0202055E-02   0.000000      4.0202055E-02   0.000000      5.9278805E-02  2.7054726E-02   0.000000       0.000000      3.2224079E-02  1.6479873E-16   1.931100      -1.931100    
   455  0.2597269       0.000000      8.3611956E-03   0.000000      2.3391751E-02   0.000000      3.0477933E-03   0.000000      0.1308000       0.000000      7.1403346E-02   0.000000       0.000000       0.000000      7.1403346E-02   0.000000      7.1403346E-02   0.000000      6.3718477E-02  3.2957112E-02   0.000000       0.000000      3.0761365E-02  1.8908486E-16   2.048356      -2.048356    
   485  0.2068562       0.000000      2.7846460E-03   0.000000     -5.2870725E-02   0.000000     -5.5765496E-03   0.000000       0.000000       0.000000      3.2393820E-02   0.000000       0.000000       0.000000      3.2393820E-02   0.000000      3.2393820E-02   0.000000      6.3154891E-02  2.6053455E-02   0.000000       0.000000      3.7101436E-02 -6.6786854E-17   1.778156      -1.778156    
   516  0.1746846       0.000000      1.2469005E-03   0.000000     -3.2171544E-02   0.000000     -1.5377455E-03   0.000000      1.2000001E-03   0.000000      1.2602215E-02   0.000000       0.000000       0.000000      1.2602215E-02   0.000000      1.2602215E-02   0.000000      6.6801631E-02  2.2307075E-02   0.000000       0.000000      4.4494556E-02 -5.8546917E-17   1.603228      -1.603228    
   546  0.1511811       0.000000      6.3573153E-04   0.000000     -2.3503517E-02   0.000000     -6.1116897E-04   0.000000      2.0000001E-04   0.000000      5.7222536E-03   0.000000       0.000000       0.000000      5.7222536E-03   0.000000      5.7222536E-03   0.000000      6.6138586E-02  1.8592432E-02   0.000000       0.000000      4.7546154E-02 -5.3125906E-17   1.468823      -1.468823    
   577  0.1315649       0.000000      3.3497463E-04   0.000000     -1.9616212E-02   0.000000     -3.0075690E-04   0.000000       0.000000       0.000000      3.0530658E-03   0.000000       0.000000       0.000000      3.0530658E-03   0.000000      3.0530658E-03   0.000000      6.9884783E-02  1.6863903E-02   0.000000       0.000000      5.3020880E-02  9.6493993E-18   1.351286      -1.351286    
   608  0.1151763       0.000000      1.8220544E-04   0.000000     -1.6388536E-02   0.000000     -1.5276919E-04   0.000000       0.000000       0.000000      1.6303462E-03   0.000000       0.000000       0.000000      1.6303462E-03   0.000000      1.6303462E-03   0.000000      7.1451630E-02  1.4910959E-02   0.000000       0.000000      5.6540672E-02  8.5977232E-17   1.248482      -1.248482    
   638  0.2186630       0.000000      1.1998665E-03   0.000000      0.1034866       0.000000      1.0176611E-03   0.000000      0.1214000       0.000000      1.4842982E-03   0.000000       0.000000       0.000000      1.4842982E-03   0.000000      1.4842982E-03   0.000000      7.0638586E-02  1.5411435E-02   0.000000       0.000000      5.5227151E-02 -3.1875544E-17   1.840168      -1.840168    
   669  0.2251164       0.000000      4.2282615E-03   0.000000      6.4534338E-03   0.000000      3.0283950E-03   0.000000      6.0999999E-02   0.000000      2.1458578E-02   0.000000       0.000000       0.000000      2.1458578E-02   0.000000      2.1458578E-02   0.000000      7.4534783E-02  3.0059593E-02   0.000000       0.000000      4.4475190E-02 -8.5001450E-17   1.873626      -1.873626    
   699  0.2345495       0.000000      5.1884610E-03   0.000000      9.4330919E-03   0.000000      9.6019959E-04   0.000000      8.5200001E-02   0.000000      4.1094692E-02   0.000000       0.000000       0.000000      4.1094692E-02   0.000000      4.1094692E-02   0.000000      7.3622282E-02  3.3712017E-02   0.000000       0.000000      3.9910265E-02  5.1174343E-17   1.922008      -1.922008    
   730  0.3091842       0.000000      2.2719983E-02   0.000000      7.4634716E-02   0.000000      1.7531522E-02   0.000000      0.2502000       0.000000      0.1148878       0.000000       0.000000       0.000000      0.1148878       0.000000      0.1148878       0.000000      7.7617935E-02  4.3145921E-02   0.000000       0.000000      3.4472014E-02  1.5959456E-16   2.286498      -2.286498    
   761  0.2462036       0.000000      6.6160750E-03   0.000000     -6.2980601E-02   0.000000     -1.6103908E-02   0.000000      5.0800001E-02   0.000000      8.9258943E-02   0.000000       0.000000       0.000000      8.9258943E-02   0.000000      8.9258943E-02   0.000000      7.9184782E-02  4.0625566E-02   0.000000       0.000000      3.8559216E-02  1.8735014E-16   1.980974      -1.980974    
   790  0.2021576       0.000000      2.3537390E-03   0.000000     -4.4046016E-02   0.000000     -4.2623359E-03   0.000000      9.8000003E-03   0.000000      2.5886389E-02   0.000000       0.000000       0.000000      2.5886389E-02   0.000000      2.5886389E-02   0.000000      8.1872827E-02  3.2221963E-02   0.000000       0.000000      4.9650864E-02 -8.1532003E-17   1.753173      -1.753173    
   821  0.2154400       0.000000      3.4010866E-03   0.000000      1.3282462E-02   0.000000      1.0473475E-03   0.000000      8.0399999E-02   0.000000      2.3800633E-02   0.000000       0.000000       0.000000      2.3800633E-02   0.000000      2.3800633E-02   0.000000      0.1045000      4.2269557E-02   0.000000       0.000000      6.2230445E-02 -3.0357661E-18   1.823346      -1.823346    
   851  0.1921386       0.000000      2.1219238E-03   0.000000     -2.3301473E-02   0.000000     -1.2791628E-03   0.000000      5.7800000E-02   0.000000      2.4879041E-02   0.000000       0.000000       0.000000      2.4879041E-02   0.000000      2.4879041E-02   0.000000      0.1459000      5.7501594E-02   0.000000       0.000000      8.8398405E-02 -5.1174343E-17   1.699286      -1.699286    
