time,CHD
1.000000000000,-30791.1150
31.41666666667,-30754.3566
61.83333333333,-26643.0456
92.25000000000,-10450.3777
122.6666666667,-18719.2791
153.0833333333,-33303.1806
183.5000000000,-9431.00369
213.9166666667,-1077.02725
244.3333333333,-141.690772
274.7500000000,-29.5973482
305.1666666667,-39.3957481
335.5833333333,-411.248008
366.0000000000,-7659.84080
396.4166666667,-57623.6121
426.8333333333,-46485.3128
457.2500000000,-66939.7042
487.6666666667,-32042.5643
518.0833333333,-12437.8679
548.5000000000,-5760.35523
578.9166666667,-2987.59180
609.3333333333,-1634.10438
639.7500000000,-2591.73696
670.1666666667,-21442.2950
700.5833333333,-44829.4161
731.0000000000,-110566.897
761.4166666667,-87521.8933
791.8333333333,-28486.0553
822.2500000000,-23622.6138
852.6666666667,-24395.9420
883.0833333333,-9075.93037
913.5000000000,-1929.03149
943.9166666667,-347.669391
974.3333333333,-60.3635085
1004.750000000,-699.391982
1035.166666667,-8765.47776
1065.583333333,-16765.5878
1096.000000000,-48736.2978
1126.416666667,-44435.5525
1156.833333333,-22079.8130
1187.250000000,-30108.0529
1217.666666667,-29769.4872
1248.083333333,-18171.9806
1278.500000000,-2393.21833
1308.916666667,-361.408123
1339.333333333,-74.0082439
1369.750000000,-23.4971843
1400.166666667,-185.547942
1430.583333333,-5312.59859
1461.000000000,-30572.0649
1491.416666667,-17381.4811
1521.833333333,-11115.7963
1552.250000000,-29951.1031
1582.666666667,-19478.1783
1613.083333333,-10614.2720
1643.500000000,-3319.52245
1673.916666667,-606.837069
1704.333333333,-201.682467
1734.750000000,-77.6270737
1765.166666667,-59.0514911
1795.583333333,-834.784822
1826.000000000,-1630.80756
1856.416666667,-1435.53644
1886.833333333,-756.862466
1917.250000000,-694.549512
1947.666666667,-853.250616
1978.083333333,-413.582469
2008.500000000,-174.980111
2038.916666667,-53.9613609
2069.333333333,-31.9257070
2099.750000000,-15.7542526
2130.166666667,-152.665143
2160.583333333,-4866.07389
2191.000000000,-21068.3893
2221.416666667,-22942.2810
2251.833333333,-45798.8022
2282.250000000,-37589.8975
2312.666666667,-20056.7801
2343.083333333,-13311.6549
2373.500000000,-4833.89261
2403.916666667,-2598.91650
2434.333333333,-1144.31077
2464.750000000,-602.888639
2495.166666667,-1092.80013
2525.583333333,-50433.8378
2556.000000000,-82403.7263
2586.416666667,-24413.6855
2616.833333333,-13176.8233
2647.250000000,-10857.3970
2677.666666667,-6200.31045
2708.083333333,-2831.98592
2738.500000000,-1460.45394
2768.916666667,-627.486428
2799.333333333,-391.920820
2829.750000000,-1911.88038
2860.166666667,-4367.43502
2890.583333333,-3306.89445
2921.000000000,-12906.5513
2951.416666667,-39722.7694
2981.833333333,-18666.5518
3012.250000000,-22929.2052
3042.666666667,-30630.2709
3073.083333333,-24639.7895
3103.500000000,-11581.6234
3133.916666667,-2183.78918
3164.333333333,-447.118047
3194.750000000,-101.859366
3225.166666667,-2552.12502
3255.583333333,-2158.91307
3286.000000000,-2994.68906
3316.416666667,-5575.95287
3346.833333333,-17084.2337
3377.250000000,-6329.75064
3407.666666667,-3466.94853
3438.083333333,-1528.23680
3468.500000000,-239.321822
3498.916666667,-78.8075534
3529.333333333,-18.2071159
3559.750000000,-6.83472391
3590.166666667,-14.7789547
3620.583333333,-49.8438269
3651.000000000,-3277.16200
