DATA,606/1042,606/1050,606/985
21/04/1978 00:00,,,
22/05/1978 00:00,,,
16/06/1978 00:00,,,
12/07/1978 00:00,,,
10/08/1978 00:00,,,
11/09/1978 00:00,,,
11/10/1978 00:00,,,
14/11/1978 00:00,,,
14/12/1978 00:00,,,
10/01/1979 00:00,,,
14/02/1979 00:00,,,
11/03/1979 00:00,,,
12/04/1979 00:00,,,
11/05/1979 00:00,,,
11/06/1979 00:00,,,
10/07/1979 00:00,,,
17/08/1979 00:00,,,
14/09/1979 00:00,,,
16/10/1979 00:00,,,
13/11/1979 00:00,,,
13/12/1979 00:00,,,
14/01/1980 00:00,,,
14/03/1980 00:00,,,
14/04/1980 00:00,,,
19/05/1980 00:00,,,
16/06/1980 00:00,,,
07/07/1980 00:00,,,
04/08/1980 00:00,,,
01/09/1980 00:00,,,
22/09/1980 00:00,,,
06/10/1980 00:00,,,
03/11/1980 00:00,,,
02/12/1980 00:00,,,
05/01/1981 00:00,,,
12/01/1981 00:00,,,
02/02/1981 00:00,,,
16/02/1981 00:00,,,
02/03/1981 00:00,,,
16/03/1981 00:00,,,
06/04/1981 00:00,,,
13/04/1981 00:00,,,
04/05/1981 00:00,,,
11/05/1981 00:00,,,
01/06/1981 00:00,,,
06/07/1981 00:00,,,
15/07/1981 00:00,15.44,,
03/08/1981 00:00,,,
12/08/1981 00:00,14.66,,
07/09/1981 00:00,,,
14/09/1981 00:00,,,
25/09/1981 00:00,13.82,,
05/10/1981 00:00,,,
19/10/1981 00:00,,,
02/11/1981 00:00,,,
09/11/1981 00:00,13.06,,
16/11/1981 00:00,,,
07/12/1981 00:00,,,
13/12/1981 00:00,12.95,,
04/01/1982 00:00,,,
27/01/1982 00:00,13.01,,
01/02/1982 00:00,,,
08/02/1982 00:00,,,
25/02/1982 00:00,14.87,,
08/03/1982 00:00,,,
15/03/1982 00:00,,,
26/03/1982 00:00,15.28,,
05/04/1982 00:00,,,
12/04/1982 00:00,,,
29/04/1982 00:00,16.15,,
03/05/1982 00:00,,,
15/05/1982 00:00,12.02,,
07/06/1982 00:00,,,
05/07/1982 00:00,,,
02/08/1982 00:00,,,
17/08/1982 00:00,11.02,,
07/09/1982 00:00,,,
17/09/1982 00:00,10.62,,
21/09/1982 00:00,,,
16/10/1982 00:00,10.62,,
08/11/1982 00:00,,,
19/11/1982 00:00,10.2,,
03/12/1982 00:00,,,
18/12/1982 00:00,10.26,,
03/01/1983 00:00,,,
19/01/1983 00:00,10.53,,
02/02/1983 00:00,,,
18/02/1983 00:00,11.33,,
03/03/1983 00:00,,,
13/03/1983 00:00,,,
23/03/1983 00:00,11.99,,
12/04/1983 00:00,,,
21/04/1983 00:00,12.12,,
12/05/1983 00:00,,,
18/05/1983 00:00,11.76,,
01/06/1983 00:00,,,
15/06/1983 00:00,11.17,,
01/07/1983 00:00,,,
15/07/1983 00:00,10.14,,
01/08/1983 00:00,,,
18/08/1983 00:00,8.75,,
01/09/1983 00:00,,,
10/09/1983 00:00,8.74,,
03/10/1983 00:00,,,
23/10/1983 00:00,8.49,,
03/11/1983 00:00,,,
01/12/1983 00:00,12.11,,
02/12/1983 00:00,,,
03/01/1984 00:00,22.18,,
01/02/1984 00:00,,,
24/02/1984 00:00,22.37,,
01/03/1984 00:00,,,
22/03/1984 00:00,22.33,,
02/04/1984 00:00,,,
19/04/1984 00:00,22.22,,
14/05/1984 00:00,,,
19/05/1984 00:00,21.91,,
07/06/1984 00:00,21.06,,
11/06/1984 00:00,,,
05/07/1984 00:00,20.21,,
10/07/1984 00:00,,,
03/08/1984 00:00,16.89,,
09/08/1984 00:00,,,
10/09/1984 00:00,,,
04/10/1984 00:00,15.61,,
