  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.2500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       2.000000      -2.000000    
    31  0.2701835      0.9790484E-02   0.000000      0.2018349E-01  0.9790484E-02   0.000000      0.7080000E-01   0.000000      0.3720001E-01   0.000000      0.3720001E-01   0.000000      0.3720001E-01   0.000000      0.7645000E-01  0.3626018E-02  0.7282398E-01  0.1075529E-15   2.099742      -2.099742    
    60  0.2337145      0.4846214E-02   0.000000     -0.3646899E-01 -0.4944271E-02   0.000000      0.6800000E-02   0.000000      0.4396766E-01   0.000000      0.4396766E-01   0.000000      0.4396766E-01   0.000000      0.9310000E-01  0.4245601E-02  0.8885440E-01  0.3729655E-16   1.917750      -1.917750    
    91  0.2278400      0.3558694E-02   0.000000     -0.5874494E-02 -0.1287520E-02   0.000000      0.2180000E-01   0.000000      0.2428851E-01   0.000000      0.2428851E-01   0.000000      0.2428851E-01   0.000000      0.1176500      0.4673509E-02  0.1129765     -0.7676151E-16   1.887658      -1.887658    
   121  0.3096923      0.1026525E-01   0.000000      0.8185229E-01  0.6706559E-02   0.000000      0.1452000       0.000000      0.5129095E-01   0.000000      0.5129095E-01   0.000000      0.5129095E-01   0.000000      0.1078000      0.5350208E-02  0.1024498      0.3426079E-15   2.288885      -2.288885    
   152  0.2664345      0.9569216E-02   0.000000     -0.4325776E-01 -0.6960364E-03   0.000000      0.5680000E-01   0.000000      0.9171707E-01   0.000000      0.9171707E-01   0.000000      0.9171707E-01   0.000000      0.1674000      0.9036727E-02  0.1583633     -0.8673617E-17   2.081388      -2.081388    
   182  0.2218399      0.3802815E-02   0.000000     -0.4459460E-01 -0.5766401E-02   0.000000      0.6000000E-03   0.000000      0.3891374E-01   0.000000      0.3891374E-01   0.000000      0.3891374E-01   0.000000      0.2782000      0.1204726E-01  0.2661527      0.5464379E-16   1.856676      -1.856676    
   213  0.1954411      0.2063710E-02   0.000000     -0.2639882E-01 -0.1739105E-02   0.000000       0.000000       0.000000      0.1819313E-01   0.000000      0.1819313E-01   0.000000      0.1819313E-01   0.000000      0.2700000      0.9944795E-02  0.2600552      0.4423545E-16   1.717144      -1.717144    
   244  0.1781738      0.1328690E-02   0.000000     -0.1726730E-01 -0.7350200E-03   0.000000      0.4000000E-03   0.000000      0.1060295E-01   0.000000      0.1060295E-01   0.000000      0.1060295E-01   0.000000      0.2389583      0.7799376E-02  0.2311590      0.6418477E-16   1.622667      -1.622667    
   274  0.1822801      0.1320373E-02   0.000000      0.4106273E-02 -0.8317128E-05   0.000000      0.1640000E-01   0.000000      0.7292190E-02   0.000000      0.7292190E-02   0.000000      0.7292190E-02   0.000000      0.1634917      0.5009854E-02  0.1584818      0.3230922E-16   1.645388      -1.645388    
