  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.2500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       2.000000      -2.000000    
    31  0.2603541      0.8316993E-02   0.000000      0.1035406E-01  0.8316993E-02   0.000000      0.7080000E-01   0.000000      0.3441634E-01   0.000000      0.3441634E-01   0.000000      0.3441634E-01   0.000000      0.7645000E-01  0.1771260E-01  0.5873740E-01  0.2949030E-16   2.051455      -2.051455    
    60  0.2169168      0.3454930E-02   0.000000     -0.4343728E-01 -0.4862063E-02   0.000000      0.6800000E-02   0.000000      0.3513513E-01   0.000000      0.3513513E-01   0.000000      0.3513513E-01   0.000000      0.9310000E-01  0.1996422E-01  0.7313579E-01  0.1647987E-16   1.831063      -1.831063    
    91  0.2030775      0.2070212E-02   0.000000     -0.1383925E-01 -0.1384718E-02   0.000000      0.2180000E-01   0.000000      0.1605473E-01   0.000000      0.1605473E-01   0.000000      0.1605473E-01   0.000000      0.1176500      0.2096924E-01  0.9668076E-01  0.3903128E-16   1.758079      -1.758079    
   121  0.2868033      0.6787645E-02   0.000000      0.8372573E-01  0.4717433E-02   0.000000      0.1452000       0.000000      0.3262312E-01   0.000000      0.3262312E-01   0.000000      0.3262312E-01   0.000000      0.1078000      0.2413372E-01  0.8366628E-01  0.6591949E-16   2.180227      -2.180227    
   152  0.2403298      0.6074999E-02   0.000000     -0.4647346E-01 -0.7126461E-03   0.000000      0.5680000E-01   0.000000      0.6272220E-01   0.000000      0.6272220E-01   0.000000      0.6272220E-01   0.000000      0.1674000      0.4126390E-01  0.1261361     -0.3174544E-15   1.951363      -1.951363    
   182  0.1748363      0.1324502E-02   0.000000     -0.6549346E-01 -0.4750497E-02   0.000000      0.6000000E-03   0.000000      0.2075486E-01   0.000000      0.2075486E-01   0.000000      0.2075486E-01   0.000000      0.2782000      0.5008909E-01  0.2281109     -0.6765422E-16   1.604076      -1.604076    
   213  0.1349313      0.3917729E-03   0.000000     -0.3990502E-01 -0.9327289E-03   0.000000       0.000000       0.000000      0.5079764E-02   0.000000      0.5079764E-02   0.000000      0.5079764E-02   0.000000      0.2700000      0.3575798E-01  0.2342420     -0.1349832E-15   1.371853      -1.371853    
   244  0.1093376      0.1477684E-03   0.000000     -0.2559376E-01 -0.2440044E-03   0.000000      0.4000000E-03   0.000000      0.1654663E-02   0.000000      0.1654663E-02   0.000000      0.1654663E-02   0.000000      0.2389583      0.2458310E-01  0.2143752     -0.4241941E-16   1.210662      -1.210662    
   274  0.1106096      0.1274035E-03   0.000000      0.1272049E-02 -0.2036497E-04   0.000000      0.1640000E-01   0.000000      0.7104916E-03   0.000000      0.7104916E-03   0.000000      0.7104916E-03   0.000000      0.1634917      0.1443782E-01  0.1490538     -0.3260738E-16   1.218960      -1.218960    
   305  0.1118943      0.1476538E-03   0.000000      0.1284674E-02  0.2025031E-04   0.000000      0.1300000E-01   0.000000      0.8344980E-03   0.000000      0.8344980E-03   0.000000      0.8344980E-03   0.000000      0.1181000      0.1086058E-01  0.1072394     -0.1395910E-16   1.227307      -1.227307    
   335  0.1514438      0.5999984E-03   0.000000      0.3954956E-01  0.4523446E-03   0.000000      0.4840000E-01   0.000000      0.1437051E-02   0.000000      0.1437051E-02   0.000000      0.1437051E-02   0.000000      0.6600000E-01  0.6961044E-02  0.5903896E-01 -0.1149254E-16   1.470361      -1.470361    
   366  0.3002576      0.1815237E-01   0.000000      0.1488138      0.1755237E-01   0.000000      0.2014000       0.000000      0.2213477E-01   0.000000      0.2213477E-01   0.000000      0.2213477E-01   0.000000      0.6490000E-01  0.1289906E-01  0.5200094E-01 -0.3087808E-15   2.244388      -2.244388    
   397  0.2721196      0.1086304E-01   0.000000     -0.2813803E-01 -0.7289327E-02   0.000000      0.8920000E-01   0.000000      0.9977021E-01   0.000000      0.9977021E-01   0.000000      0.9977021E-01   0.000000      0.9015000E-01  0.2485714E-01  0.6529286E-01  0.1630640E-15   2.109192      -2.109192    
   425  0.2533093      0.7273233E-02   0.000000     -0.1881029E-01 -0.3589811E-02   0.000000      0.4940000E-01   0.000000      0.5748525E-01   0.000000      0.5748525E-01   0.000000      0.5748525E-01   0.000000      0.5780978E-01  0.1431485E-01  0.4349493E-01 -0.7806256E-17   2.016514      -2.016514    
   456  0.2704679      0.1038699E-01   0.000000      0.1715859E-01  0.3113754E-02   0.000000      0.1298000       0.000000      0.9206934E-01   0.000000      0.9206934E-01   0.000000      0.9206934E-01   0.000000      0.6376902E-01  0.1745832E-01  0.4631070E-01  0.3356690E-15   2.101132      -2.101132    
   486  0.2227035      0.3849266E-02   0.000000     -0.4776440E-01 -0.6537721E-02   0.000000      0.6000000E-03   0.000000      0.4104509E-01   0.000000      0.4104509E-01   0.000000      0.4104509E-01   0.000000      0.6320380E-01  0.1385703E-01  0.4934678E-01  0.9107298E-16   1.861151      -1.861151    
   517  0.1944144      0.2022449E-02   0.000000     -0.2828911E-01 -0.1826817E-02   0.000000      0.6000000E-03   0.000000      0.1841726E-01   0.000000      0.1841726E-01   0.000000      0.1841726E-01   0.000000      0.6685217E-01  0.1229867E-01  0.5455350E-01 -0.4336809E-18   1.711602      -1.711602    
   547  0.1748615      0.1225541E-02   0.000000     -0.1955289E-01 -0.7969083E-03   0.000000      0.2000000E-03   0.000000      0.9882911E-02   0.000000      0.9882911E-02   0.000000      0.9882911E-02   0.000000      0.6618750E-01  0.1066688E-01  0.5552061E-01  0.5290907E-16   1.604216      -1.604216    
   578  0.1588825      0.7833912E-03   0.000000     -0.1597897E-01 -0.4421494E-03   0.000000       0.000000       0.000000      0.6321170E-02   0.000000      0.6321170E-02   0.000000      0.6321170E-02   0.000000      0.6993533E-01  0.1009995E-01  0.5983537E-01  0.7155734E-17   1.513567      -1.513567    
   609  0.1456664      0.5239208E-03   0.000000     -0.1321613E-01 -0.2594704E-03   0.000000       0.000000       0.000000      0.4118677E-02   0.000000      0.4118677E-02   0.000000      0.4118677E-02   0.000000      0.7150217E-01  0.9356926E-02  0.6214525E-01 -0.9801188E-16   1.436321      -1.436321    
   639  0.2498431      0.3492984E-02   0.000000      0.1041767      0.2969064E-02   0.000000      0.1216000       0.000000      0.4408089E-02   0.000000      0.4408089E-02   0.000000      0.4408089E-02   0.000000      0.7068750E-01  0.1004620E-01  0.6064130E-01 -0.1014813E-15   1.999215      -1.999215    
   670  0.2496019      0.6899410E-02   0.000000     -0.2411449E-03  0.3406426E-02   0.000000      0.6080000E-01   0.000000      0.4038996E-01   0.000000      0.4038996E-01   0.000000      0.4038996E-01   0.000000      0.7458533E-01  0.1724476E-01  0.5734056E-01 -0.1136244E-15   1.998009      -1.998009    
   700  0.2528814      0.7378791E-02   0.000000      0.3279459E-02  0.4793806E-03   0.000000      0.8520000E-01   0.000000      0.6287678E-01   0.000000      0.6287678E-01   0.000000      0.6287678E-01   0.000000      0.7367120E-01  0.1856438E-01  0.5510681E-01  0.2194425E-15   2.014382      -2.014382    
   731  0.3148759      0.2407654E-01   0.000000      0.6199451E-01  0.1669775E-01   0.000000      0.2512000       0.000000      0.1494904       0.000000      0.1494904       0.000000      0.1494904       0.000000      0.7766848E-01  0.2301737E-01  0.5465111E-01  0.2081668E-16   2.313166      -2.313166    
   762  0.2582329      0.8181326E-02   0.000000     -0.5664296E-01 -0.1589522E-01   0.000000      0.5000000E-01   0.000000      0.1014315       0.000000      0.1014315       0.000000      0.1014315       0.000000      0.7923533E-01  0.2110668E-01  0.5812864E-01  0.3538836E-15   2.040965      -2.040965    
   790  0.2222618      0.3623227E-02   0.000000     -0.3597111E-01 -0.4558100E-02   0.000000      0.9600000E-02   0.000000      0.3325240E-01   0.000000      0.3325240E-01   0.000000      0.3325240E-01   0.000000      0.7929239E-01  0.1687681E-01  0.6241559E-01  0.5204170E-16   1.858863      -1.858863    
   821  0.2404114      0.5630928E-02   0.000000      0.1814955E-01  0.2007701E-02   0.000000      0.8040000E-01   0.000000      0.3676652E-01   0.000000      0.3676652E-01   0.000000      0.3676652E-01   0.000000      0.1045000      0.2347622E-01  0.8102378E-01 -0.5377643E-16   1.951776      -1.951776    
   851  0.2251309      0.4286690E-02   0.000000     -0.1528045E-01 -0.1344238E-02   0.000000      0.5780000E-01   0.000000      0.4159807E-01   0.000000      0.4159807E-01   0.000000      0.4159807E-01   0.000000      0.1459000      0.3282662E-01  0.1130734     -0.1734723E-17   1.873701      -1.873701    
   882  0.1878642      0.1815907E-02   0.000000     -0.3726670E-01 -0.2470783E-02   0.000000      0.1900000E-01   0.000000      0.2090167E-01   0.000000      0.2090167E-01   0.000000      0.2090167E-01   0.000000      0.2035000      0.3783581E-01  0.1656642     -0.7546047E-16   1.676028      -1.676028    
   912  0.1513609      0.6533213E-03   0.000000     -0.3650333E-01 -0.1162586E-02   0.000000      0.1400000E-02   0.000000      0.7303118E-02   0.000000      0.7303118E-02   0.000000      0.7303118E-02   0.000000      0.2163000      0.3176279E-01  0.1845372      0.2233456E-16   1.469876      -1.469876    
   943  0.1184963      0.2136963E-03   0.000000     -0.3286464E-01 -0.4396250E-03   0.000000      0.2000000E-03   0.000000      0.2681405E-02   0.000000      0.2681405E-02   0.000000      0.2681405E-02   0.000000      0.2694500      0.3082286E-01  0.2386271     -0.2683400E-16   1.269691      -1.269691    
   974  0.1000792      0.9536841E-04   0.000000     -0.1841710E-01 -0.1183279E-03   0.000000      0.4000000E-03   0.000000      0.9637234E-03   0.000000      0.9637234E-03   0.000000      0.9637234E-03   0.000000      0.1964500      0.1797171E-01  0.1784783     -0.5244828E-17   1.149217      -1.149217    
  1004  0.1928247      0.1939668E-02   0.000000      0.9274553E-01  0.1844299E-02   0.000000      0.1122000       0.000000      0.2838250E-02   0.000000      0.2838250E-02   0.000000      0.2838250E-02   0.000000      0.1361500      0.1477193E-01  0.1213781     -0.4336809E-18   1.703004      -1.703004    
