  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.2500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.1250000E-04   99.99999    
    31  0.4743914      0.2279059       0.000000      0.2243914      0.2279059       0.000000      0.7080000E-01   1.573722       1.177637       0.000000       1.177637       1.573722     -0.3960848       0.000000      0.7645000E-01  0.1458744E-01  0.6186256E-01  0.1665335E-14  0.1250000E-04   99.99999    
    60  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000      0.6800000E-02   1.332839       1.321854       0.000000       1.321854       1.332839     -0.1098504E-01   0.000000      0.9310000E-01  0.1778504E-01  0.7531497E-01  0.1155326E-14  0.1250000E-04   99.99999    
    91  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000      0.2180000E-01   1.413692       1.413017       0.000000       1.413017       1.413692     -0.6748599E-03   0.000000      0.1176500      0.2247486E-01  0.9517514E-01  0.1006140E-15  0.1250000E-04   99.99999    
   121  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000      0.1452000       1.242829       1.367436       0.000000       1.367436       1.242829      0.1246068       0.000000      0.1078000      0.2059320E-01  0.8720680E-01  0.2116363E-15  0.1250000E-04   99.99999    
   152  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000      0.5680000E-01   1.388195       1.413017       0.000000       1.413017       1.388195      0.2482132E-01   0.000000      0.1674000      0.3197868E-01  0.1354213      0.3538836E-15  0.1250000E-04   99.99999    
   182  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000      0.6000000E-03   1.419981       1.367436       0.000000       1.367436       1.419981     -0.5254497E-01   0.000000      0.2782000      0.5314497E-01  0.2250550      0.6245005E-15  0.1250000E-04   99.99999    
   213  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000       0.000000       1.464595       1.413017       0.000000       1.413017       1.464595     -0.5157851E-01   0.000000      0.2700000      0.5157851E-01  0.2184215     -0.1595946E-15  0.1250000E-04   99.99999    
   244  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000      0.4000000E-03   1.458265       1.413017       0.000000       1.413017       1.458265     -0.4524858E-01   0.000000      0.2389583      0.4564858E-01  0.1933098     -0.4510281E-15  0.1250000E-04   99.99999    
   274  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000      0.1640000E-01   1.382268       1.367436       0.000000       1.367436       1.382268     -0.1483206E-01   0.000000      0.1634917      0.3123206E-01  0.1322596      0.3122502E-15  0.1250000E-04   99.99999    
   305  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000      0.1300000E-01   1.422578       1.413017       0.000000       1.413017       1.422578     -0.9560824E-02   0.000000      0.1181000      0.2256082E-01  0.9553918E-01 -0.2498002E-15  0.1250000E-04   99.99999    
   335  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000      0.4840000E-01   1.331644       1.367436       0.000000       1.367436       1.331644      0.3579192E-01   0.000000      0.6600000E-01  0.1260808E-01  0.5339192E-01  0.7233797E-15  0.1250000E-04   99.99999    
   366  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000      0.2014000       1.240298       1.429292       0.000000       1.429292       1.240298      0.1889934       0.000000      0.6490000E-01  0.1240662E-01  0.5249338E-01 -0.8500145E-16  0.1250000E-04   99.99999    
   397  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000      0.8920000E-01   1.341038       1.413017       0.000000       1.413017       1.341038      0.7197851E-01   0.000000      0.9015000E-01  0.1722149E-01  0.7292851E-01 -0.7771561E-15  0.1250000E-04   99.99999    
   425  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000      0.4940000E-01   1.237917       1.276273       0.000000       1.276273       1.237917      0.3835651E-01   0.000000      0.5780978E-01  0.1104349E-01  0.4676629E-01  0.1092876E-15  0.1250000E-04   99.99999    
   456  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000      0.1298000       1.295399       1.413017       0.000000       1.413017       1.295399      0.1176181       0.000000      0.6376902E-01  0.1218189E-01  0.5158713E-01 -0.4857226E-16  0.1250000E-04   99.99999    
   486  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000      0.6000000E-03   1.378910       1.367436       0.000000       1.367436       1.378910     -0.1147392E-01   0.000000      0.6320380E-01  0.1207392E-01  0.5112988E-01  0.8760354E-15  0.1250000E-04   99.99999    
   517  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000      0.6000000E-03   1.425188       1.413017       0.000000       1.413017       1.425188     -0.1217087E-01   0.000000      0.6685217E-01  0.1277087E-01  0.5408130E-01 -0.2654127E-15  0.1250000E-04   99.99999    
   547  0.4743914      0.2279059       0.000000       0.000000       0.000000       0.000000      0.2000000E-03   1.379880       1.367436       0.000000       1.367436       1.379880     -0.1244390E-01   0.000000      0.6618750E-01  0.1264390E-01  0.5354360E-01  0.5256212E-15  0.1250000E-04   99.99999    
