  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.2500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       1.250000       98.75000    
    31  0.2735154      0.1055359E-01   0.000000      0.2351544E-01  0.1055359E-01   0.000000      0.7080000E-01  0.1419007E-01  0.4250190E-01   0.000000      0.4250190E-01  0.1419007E-01  0.2831182E-01   0.000000      0.7645000E-01  0.8419145E-02  0.6803086E-01  0.9540979E-16   1.250000       98.75000    
    60  0.2500000      0.6345998E-02   0.000000     -0.2351544E-01 -0.4207591E-02   0.000000      0.6800000E-02  0.2187581E-01  0.4655934E-01   0.000000      0.4655934E-01  0.2187581E-01  0.2468353E-01   0.000000      0.9310000E-01  0.9839505E-02  0.8326050E-01  0.3105155E-15   1.250000       98.75000    
    91  0.2587267      0.6738269E-02   0.000000      0.8726688E-02  0.3922708E-03   0.000000      0.2180000E-01  0.3900509E-01  0.3954494E-01   0.000000      0.3954494E-01  0.3900509E-01  0.5398480E-03   0.000000      0.1176500      0.1214119E-01  0.1055088      0.1361758E-15   1.250000       98.75000    
   121  0.3149512      0.1152977E-01   0.000000      0.5622456E-01  0.4791503E-02   0.000000      0.1452000       0.000000      0.7141123E-01   0.000000      0.7141123E-01   0.000000      0.7141123E-01   0.000000      0.1078000      0.1277271E-01  0.9502729E-01 -0.9540979E-17   1.250000       98.75000    
   152  0.2611658      0.8832346E-02   0.000000     -0.5378547E-01 -0.2697426E-02   0.000000      0.5680000E-01   0.000000      0.9318373E-01   0.000000      0.9318373E-01   0.000000      0.9318373E-01   0.000000      0.1674000      0.2009916E-01  0.1473008      0.1509209E-15   1.250000       98.75000    
   182  0.2500000      0.6345998E-02   0.000000     -0.1116578E-01 -0.2486348E-02   0.000000      0.6000000E-03  0.5573399E-01  0.4129088E-01   0.000000      0.4129088E-01  0.5573399E-01 -0.1444310E-01   0.000000      0.2782000      0.2869523E-01  0.2495048      0.1856154E-15   1.250000       98.75000    
   213  0.2500000      0.6345998E-02   0.000000       0.000000       0.000000       0.000000       0.000000      0.6711249E-01  0.3934519E-01   0.000000      0.3934519E-01  0.6711249E-01 -0.2776731E-01   0.000000      0.2700000      0.2776731E-01  0.2422327      0.3330669E-15   1.250000       98.75000    
   244  0.2500000      0.6345998E-02   0.000000       0.000000       0.000000       0.000000      0.4000000E-03  0.6352011E-01  0.3934519E-01   0.000000      0.3934519E-01  0.6352011E-01 -0.2417492E-01   0.000000      0.2389583      0.2457492E-01  0.2143834      0.3261280E-15   1.250000       98.75000    
   274  0.2530561      0.6677990E-02   0.000000      0.3056149E-02  0.3319923E-03   0.000000      0.1640000E-01  0.4224818E-01  0.3839951E-01   0.000000      0.3839951E-01  0.4224818E-01 -0.3848675E-02   0.000000      0.1634917      0.1686053E-01  0.1466311      0.3157197E-15   1.250000       98.75000    
   305  0.2501382      0.6347708E-02   0.000000     -0.2917969E-02 -0.3302822E-03   0.000000      0.1300000E-01  0.3606869E-01  0.4014374E-01   0.000000      0.4014374E-01  0.3606869E-01  0.4075050E-02   0.000000      0.1181000      0.1217320E-01  0.1059268     -0.7806256E-17   1.250000       98.75000    
   335  0.2625559      0.8564939E-02   0.000000      0.1241774E-01  0.2217231E-02   0.000000      0.4840000E-01  0.1582778E-01  0.4261877E-01   0.000000      0.4261877E-01  0.1582778E-01  0.2679099E-01   0.000000      0.6600000E-01  0.6974045E-02  0.5902596E-01  0.2003606E-15   1.250000       98.75000    
   366  0.3357715      0.3561206E-01   0.000000      0.7321555E-01  0.2704712E-01   0.000000      0.2014000       0.000000      0.9309057E-01   0.000000      0.9309057E-01   0.000000      0.9309057E-01   0.000000      0.6490000E-01  0.8046761E-02  0.5685324E-01  0.8673617E-16   1.250000       98.75000    
   397  0.2847810      0.1357399E-01   0.000000     -0.5099047E-01 -0.2203807E-01   0.000000      0.8920000E-01   0.000000      0.1504640       0.000000      0.1504640       0.000000      0.1504640       0.000000      0.9015000E-01  0.1176450E-01  0.7838550E-01  0.1734723E-16   1.250000       98.75000    
   425  0.2625402      0.8635889E-02   0.000000     -0.2224076E-01 -0.4938096E-02   0.000000      0.4940000E-01   0.000000      0.6986906E-01   0.000000      0.6986906E-01   0.000000      0.6986906E-01   0.000000      0.5780978E-01  0.6709798E-02  0.5109998E-01  0.1873501E-15   1.250000       98.75000    
   456  0.2772529      0.1168519E-01   0.000000      0.1471265E-01  0.3049305E-02   0.000000      0.1298000       0.000000      0.1040711       0.000000      0.1040711       0.000000      0.1040711       0.000000      0.6376902E-01  0.7966976E-02  0.5580205E-01  0.2654127E-15   1.250000       98.75000    
   486  0.2500000      0.6345998E-02   0.000000     -0.2725289E-01 -0.5339196E-02   0.000000      0.6000000E-03  0.2211004E-01  0.4864003E-01   0.000000      0.4864003E-01  0.2211004E-01  0.2652999E-01   0.000000      0.6320380E-01  0.6662098E-02  0.5654171E-01  0.1439820E-15   1.250000       98.75000    
   517  0.2500000      0.6345998E-02   0.000000       0.000000       0.000000       0.000000      0.6000000E-03  0.4562039E-01  0.3934519E-01   0.000000      0.3934519E-01  0.4562039E-01 -0.6275203E-02   0.000000      0.6685217E-01  0.6875203E-02  0.5997697E-01  0.2541370E-15   1.250000       98.75000    
   547  0.2500000      0.6345998E-02   0.000000       0.000000       0.000000       0.000000      0.2000000E-03  0.4468283E-01  0.3807599E-01   0.000000      0.3807599E-01  0.4468283E-01 -0.6606847E-02   0.000000      0.6618750E-01  0.6806847E-02  0.5938065E-01  0.2862294E-15   1.250000       98.75000    
   578  0.2500000      0.6345998E-02   0.000000       0.000000       0.000000       0.000000       0.000000      0.4653747E-01  0.3934519E-01   0.000000      0.3934519E-01  0.4653747E-01 -0.7192280E-02   0.000000      0.6993533E-01  0.7192280E-02  0.6274305E-01  0.3321995E-15   1.250000       98.75000    
   609  0.2500000      0.6345998E-02   0.000000       0.000000       0.000000       0.000000       0.000000      0.4669860E-01  0.3934519E-01   0.000000      0.3934519E-01  0.4669860E-01 -0.7353418E-02   0.000000      0.7150217E-01  0.7353418E-02  0.6414876E-01  0.2923009E-15   1.250000       98.75000    
   639  0.3337876      0.1849340E-01   0.000000      0.8378756E-01  0.1214741E-01   0.000000      0.1216000      0.2981365E-01  0.4766998E-01   0.000000      0.4766998E-01  0.2981365E-01  0.1785634E-01   0.000000      0.7068750E-01  0.7808702E-02  0.6287880E-01  0.1942890E-15   1.250000       98.75000    
   670  0.2788720      0.1211209E-01   0.000000     -0.5491552E-01 -0.6381316E-02   0.000000      0.6080000E-01   0.000000      0.1127301       0.000000      0.1127301       0.000000      0.1127301       0.000000      0.7458533E-01  0.9366745E-02  0.6521858E-01 -0.1387779E-15   1.250000       98.75000    
   700  0.2666345      0.9549170E-02   0.000000     -0.1223756E-01 -0.2562917E-02   0.000000      0.8520000E-01   0.000000      0.9106529E-01   0.000000      0.9106529E-01   0.000000      0.9106529E-01   0.000000      0.7367120E-01  0.8935187E-02  0.6473601E-01 -0.9540979E-16   1.250000       98.75000    
