  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.2500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       1.250000       98.75000    
    31  0.2670592      0.9299462E-02   0.000000      0.1705924E-01  0.9299462E-02   0.000000      0.7080000E-01   0.000000      0.3628397E-01   0.000000      0.3628397E-01   0.000000      0.3628397E-01   0.000000      0.7645000E-01  0.8157328E-02  0.6829267E-01 -0.7459311E-16   1.250000       98.75000    
    60  0.2283422      0.4359570E-02   0.000000     -0.3871708E-01 -0.4939892E-02   0.000000      0.6800000E-02   0.000000      0.4097233E-01   0.000000      0.4097233E-01   0.000000      0.4097233E-01   0.000000      0.9310000E-01  0.9484643E-02  0.8361536E-01 -0.5551115E-16   1.250000       98.75000    
    91  0.2197582      0.3000617E-02   0.000000     -0.8583988E-02 -0.1358953E-02   0.000000      0.2180000E-01   0.000000      0.2132416E-01   0.000000      0.2132416E-01   0.000000      0.2132416E-01   0.000000      0.1176500      0.1041879E-01  0.1072312     -0.5334275E-16   1.250000       98.75000    
   121  0.3026156      0.9058159E-02   0.000000      0.8285747E-01  0.6057542E-02   0.000000      0.1452000       0.000000      0.4456215E-01   0.000000      0.4456215E-01   0.000000      0.4456215E-01   0.000000      0.1078000      0.1172284E-01  0.9607716E-01  0.1578598E-15   1.250000       98.75000    
   152  0.2584623      0.8368601E-02   0.000000     -0.4415332E-01 -0.6895581E-03   0.000000      0.5680000E-01   0.000000      0.8193317E-01   0.000000      0.8193317E-01   0.000000      0.8193317E-01   0.000000      0.1674000      0.1970971E-01  0.1476903     -0.7285839E-16   1.250000       98.75000    
   182  0.2063977      0.2756827E-02   0.000000     -0.5206467E-01 -0.5611774E-02   0.000000      0.6000000E-03   0.000000      0.3213941E-01   0.000000      0.3213941E-01   0.000000      0.3213941E-01   0.000000      0.2782000      0.2613703E-01  0.2520630      0.3816392E-16   1.250000       98.75000    
   213  0.1747023      0.1242990E-02   0.000000     -0.3169532E-01 -0.1513837E-02   0.000000       0.000000       0.000000      0.1227920E-01   0.000000      0.1227920E-01   0.000000      0.1227920E-01   0.000000      0.2700000      0.2092996E-01  0.2490700      0.1071192E-15   1.250000       98.75000    
   244  0.1537481      0.6811504E-03   0.000000     -0.2095421E-01 -0.5618393E-03   0.000000      0.4000000E-03   0.000000      0.6006100E-02   0.000000      0.6006100E-02   0.000000      0.6006100E-02   0.000000      0.2389583      0.1590995E-01  0.2230484      0.6776264E-16   1.250000       98.75000    
   274  0.1566064      0.6464071E-03   0.000000      0.2858317E-02 -0.3474326E-04   0.000000      0.1640000E-01   0.000000      0.3589990E-02   0.000000      0.3589990E-02   0.000000      0.3589990E-02   0.000000      0.1634917      0.9986436E-02  0.1535052      0.5811324E-16   1.250000       98.75000    
   305  0.1578897      0.7204211E-03   0.000000      0.1283253E-02  0.7401398E-04   0.000000      0.1300000E-01   0.000000      0.4188955E-02   0.000000      0.4188955E-02   0.000000      0.4188955E-02   0.000000      0.1181000      0.7453779E-02  0.1106462     -0.4445229E-16   1.250000       98.75000    
   335  0.1945765      0.1940746E-02   0.000000      0.3668680E-01  0.1220325E-02   0.000000      0.4840000E-01   0.000000      0.5936841E-02   0.000000      0.5936841E-02   0.000000      0.5936841E-02   0.000000      0.6600000E-01  0.4556034E-02  0.6144397E-01 -0.6331741E-16   1.250000       98.75000    
   366  0.3210044      0.2665502E-01   0.000000      0.1264279      0.2471428E-01   0.000000      0.2014000       0.000000      0.4337611E-01   0.000000      0.4337611E-01   0.000000      0.4337611E-01   0.000000      0.6490000E-01  0.6881736E-02  0.5801826E-01  0.1734723E-16   1.250000       98.75000    
   397  0.2827872      0.1306420E-01   0.000000     -0.3821720E-01 -0.1359083E-01   0.000000      0.8920000E-01   0.000000      0.1294456       0.000000      0.1294456       0.000000      0.1294456       0.000000      0.9015000E-01  0.1156245E-01  0.7858755E-01 -0.3469447E-17   1.250000       98.75000    
   425  0.2619039      0.8527619E-02   0.000000     -0.2088327E-01 -0.4536578E-02   0.000000      0.4940000E-01   0.000000      0.6813843E-01   0.000000      0.6813843E-01   0.000000      0.6813843E-01   0.000000      0.5780978E-01  0.6681420E-02  0.5112836E-01 -0.2827599E-15   1.250000       98.75000    
   456  0.2771450      0.1166085E-01   0.000000      0.1524106E-01  0.3133229E-02   0.000000      0.1298000       0.000000      0.1034656       0.000000      0.1034656       0.000000      0.1034656       0.000000      0.6376902E-01  0.7960073E-02  0.5580895E-01  0.2081668E-16   1.250000       98.75000    
   486  0.2313761      0.4588366E-02   0.000000     -0.4576889E-01 -0.7072482E-02   0.000000      0.6000000E-03   0.000000      0.4691823E-01   0.000000      0.4691823E-01   0.000000      0.4691823E-01   0.000000      0.6320380E-01  0.6523139E-02  0.5668067E-01  0.1353084E-15   1.250000       98.75000    
   517  0.2054404      0.2601192E-02   0.000000     -0.2593568E-01 -0.1987174E-02   0.000000      0.6000000E-03   0.000000      0.2255600E-01   0.000000      0.2255600E-01   0.000000      0.2255600E-01   0.000000      0.6685217E-01  0.5966853E-02  0.6088532E-01 -0.2818926E-16   1.250000       98.75000    
   547  0.1881173      0.1708862E-02   0.000000     -0.1732306E-01 -0.8923300E-03   0.000000      0.2000000E-03   0.000000      0.1310021E-01   0.000000      0.1310021E-01   0.000000      0.1310021E-01   0.000000      0.6618750E-01  0.5315184E-02  0.6087232E-01 -0.1225148E-15   1.250000       98.75000    
   578  0.1743494      0.1194423E-02   0.000000     -0.1376788E-01 -0.5144387E-03   0.000000       0.000000       0.000000      0.9119711E-02   0.000000      0.9119711E-02   0.000000      0.9119711E-02   0.000000      0.6993533E-01  0.5162612E-02  0.6477271E-01  0.9324139E-17   1.250000       98.75000    
   609  0.1632446      0.8781456E-03   0.000000     -0.1110480E-01 -0.3162777E-03   0.000000       0.000000       0.000000      0.6513425E-02   0.000000      0.6513425E-02   0.000000      0.6513425E-02   0.000000      0.7150217E-01  0.4907652E-02  0.6659452E-01 -0.2970714E-16   1.250000       98.75000    
