  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.2500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.1250000E-04   99.99999    
    31  0.3776315      0.5259012E-01   0.000000      0.1276315      0.5259012E-01   0.000000      0.7080000E-01  0.3945044      0.2732136       0.000000      0.2732136      0.3945044     -0.1212908       0.000000      0.7645000E-01  0.1186918E-01  0.6458082E-01  0.1824929E-14  0.1250000E-04   99.99999    
    60  0.3776315      0.5159345E-01   0.000000       0.000000     -0.9966697E-03   0.000000      0.6800000E-02  0.3068539      0.3002387       0.000000      0.3002387      0.3068539     -0.6615228E-02   0.000000      0.9310000E-01  0.1441190E-01  0.7868810E-01  0.2621167E-14  0.1250000E-04   99.99999    
    91  0.3776315      0.5172703E-01   0.000000       0.000000      0.1335759E-03   0.000000      0.2180000E-01  0.3164268      0.3198794       0.000000      0.3198794      0.3164268      0.3452578E-02   0.000000      0.1176500      0.1821385E-01  0.9943615E-01  0.2959438E-14  0.1250000E-04   99.99999    
   121  0.4066968      0.5421366E-01   0.000000      0.2906529E-01  0.2486631E-02   0.000000      0.1452000      0.2205532      0.3174115       0.000000      0.3174115      0.2205532      0.9685837E-01   0.000000      0.1078000      0.1678971E-01  0.9101029E-01  0.2064321E-14  0.1250000E-04   99.99999    
   152  0.3776315      0.5159345E-01   0.000000     -0.2906529E-01 -0.2620206E-02   0.000000      0.5680000E-01  0.2678973      0.3303317       0.000000      0.3303317      0.2678973      0.6243439E-01   0.000000      0.1674000      0.2605111E-01  0.1413489      0.2772088E-14  0.1250000E-04   99.99999    
   182  0.3776315      0.5159345E-01   0.000000       0.000000       0.000000       0.000000      0.6000000E-03  0.3520261      0.3095607       0.000000      0.3095607      0.3520261     -0.4246541E-01   0.000000      0.2782000      0.4306541E-01  0.2351346      0.3323730E-14  0.1250000E-04   99.99999    
   213  0.3776315      0.5159345E-01   0.000000       0.000000       0.000000       0.000000       0.000000      0.3616754      0.3198794       0.000000      0.3198794      0.3616754     -0.4179605E-01   0.000000      0.2700000      0.4179605E-01  0.2282039      0.2810252E-14  0.1250000E-04   99.99999    
   244  0.3776315      0.5159345E-01   0.000000       0.000000       0.000000       0.000000      0.4000000E-03  0.3564702      0.3198794       0.000000      0.3198794      0.3564702     -0.3659079E-01   0.000000      0.2389583      0.3699079E-01  0.2019675      0.2477185E-14  0.1250000E-04   99.99999    
   274  0.3776315      0.5159345E-01   0.000000       0.000000       0.000000       0.000000      0.1640000E-01  0.3184692      0.3095607       0.000000      0.3095607      0.3184692     -0.8908541E-02   0.000000      0.1634917      0.2530854E-01  0.1381831      0.2903927E-14  0.1250000E-04   99.99999    
   305  0.3776315      0.5159345E-01   0.000000       0.000000       0.000000       0.000000      0.1300000E-01  0.3251613      0.3198794       0.000000      0.3198794      0.3251613     -0.5281902E-02   0.000000      0.1181000      0.1828190E-01  0.9981810E-01  0.3257811E-14  0.1250000E-04   99.99999    
   335  0.3776315      0.5159345E-01   0.000000       0.000000       0.000000       0.000000      0.4840000E-01  0.2724259      0.3106011       0.000000      0.3106011      0.2724259      0.3817518E-01   0.000000      0.6600000E-01  0.1022483E-01  0.5577518E-01  0.1887379E-14  0.1250000E-04   99.99999    
