  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.2500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       2.000000      -2.000000    
    31  0.2507062      0.7056212E-02   0.000000      0.7062288E-03  0.7056212E-02   0.000000      0.7080000E-01   0.000000      0.3189012E-01   0.000000      0.3189012E-01   0.000000      0.3189012E-01   0.000000      0.7645000E-01  0.3114744E-01  0.4530256E-01  0.2949030E-16   2.003530      -2.003530    
    60  0.2004243      0.2423108E-02   0.000000     -0.5028189E-01 -0.4633103E-02   0.000000      0.6800000E-02   0.000000      0.2799201E-01   0.000000      0.2799201E-01   0.000000      0.2799201E-01   0.000000      0.9310000E-01  0.3372298E-01  0.5937702E-01 -0.3469447E-16   1.743912      -1.743912    
    91  0.1794451      0.1161680E-02   0.000000     -0.2097921E-01 -0.1261429E-02   0.000000      0.2180000E-01   0.000000      0.1039960E-01   0.000000      0.1039960E-01   0.000000      0.1039960E-01   0.000000      0.1176500      0.3364104E-01  0.8400896E-01 -0.6613633E-16   1.629719      -1.629719    
   121  0.2627613      0.4248735E-02   0.000000      0.8331617E-01  0.3087056E-02   0.000000      0.1452000       0.000000      0.2000405E-01   0.000000      0.2000405E-01   0.000000      0.2000405E-01   0.000000      0.1078000      0.3879273E-01  0.6900727E-01 -0.8760354E-16   2.063330      -2.063330    
   152  0.2129140      0.3580822E-02   0.000000     -0.4984732E-01 -0.6679131E-03   0.000000      0.5680000E-01   0.000000      0.4051586E-01   0.000000      0.4051586E-01   0.000000      0.4051586E-01   0.000000      0.1674000      0.6679937E-01  0.1006006      0.3469447E-16   1.810106      -1.810106    
   182  0.1330477      0.4031593E-03   0.000000     -0.7986633E-01 -0.3177663E-02   0.000000      0.6000000E-03   0.000000      0.1040728E-01   0.000000      0.1040728E-01   0.000000      0.1040728E-01   0.000000      0.2782000      0.7323671E-01  0.2049633     -0.2341877E-16   1.360366      -1.360366    
   213  0.8771815E-01  0.5855419E-04   0.000000     -0.4532951E-01 -0.3446052E-03   0.000000       0.000000       0.000000      0.1244618E-02   0.000000      0.1244618E-02   0.000000      0.1244618E-02   0.000000      0.2700000      0.4442949E-01  0.2255705      0.2981556E-17   1.063954      -1.063954    
   244  0.6175542E-01  0.1171339E-04   0.000000     -0.2596273E-01 -0.4684080E-04   0.000000      0.4000000E-03   0.000000      0.2014503E-03   0.000000      0.2014503E-03   0.000000      0.2014503E-03   0.000000      0.2389583      0.2620812E-01  0.2127502      0.2144687E-16  0.8690300     -0.8690300    
   274  0.6411090E-01  0.9882258E-05   0.000000      0.2355480E-02 -0.1831130E-05   0.000000      0.1640000E-01   0.000000      0.4960783E-04   0.000000      0.4960783E-04   0.000000      0.4960783E-04   0.000000      0.1634917      0.1399674E-01  0.1494949     -0.7736799E-17  0.8878257     -0.8878257    
   305  0.6603166E-01  0.1321455E-04   0.000000      0.1920763E-02  0.3332292E-05   0.000000      0.1300000E-01   0.000000      0.6860638E-04   0.000000      0.6860638E-04   0.000000      0.6860638E-04   0.000000      0.1181000      0.1100730E-01  0.1070927      0.2154852E-16  0.9029621     -0.9029621    
   335  0.1063928      0.1183956E-03   0.000000      0.4036116E-01  0.1051810E-03   0.000000      0.4840000E-01   0.000000      0.1917402E-03   0.000000      0.1917402E-03   0.000000      0.1917402E-03   0.000000      0.6600000E-01  0.7741925E-02  0.5825808E-01 -0.7253313E-16   1.191323      -1.191323    
   366  0.2697723      0.1025633E-01   0.000000      0.1633795      0.1013793E-01   0.000000      0.2014000       0.000000      0.9401873E-02   0.000000      0.9401873E-02   0.000000      0.9401873E-02   0.000000      0.6490000E-01  0.1848067E-01  0.4641934E-01 -0.1682682E-15   2.097733      -2.097733    
   397  0.2544425      0.7886318E-02   0.000000     -0.1532980E-01 -0.2370007E-02   0.000000      0.8920000E-01   0.000000      0.6576145E-01   0.000000      0.6576145E-01   0.000000      0.6576145E-01   0.000000      0.9015000E-01  0.4113836E-01  0.4901164E-01 -0.1821460E-15   2.022154      -2.022154    
   425  0.2391923      0.5539831E-02   0.000000     -0.1525023E-01 -0.2346487E-02   0.000000      0.4940000E-01   0.000000      0.4288576E-01   0.000000      0.4288576E-01   0.000000      0.4288576E-01   0.000000      0.5780978E-01  0.2411096E-01  0.3369882E-01 -0.3729655E-16   1.945603      -1.945603    
