Date Day Date2 T.Max Smx T.Min Smn Rain Srn Evap Sev Radn Ssl VP Svp RHmaxT RHminT FAO56
(yyyymmdd) () (ddmmyyyy) (oC) () (oC) () (mm) () (mm) () (MJ/m2) () (hPa) () (%) (%) (mm)
20000101 1.0 01-01-2000 NULL NULL NULL NULL 0.0 NULL 2.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000102 2.0 02-01-2000 NULL NULL NULL NULL 0.0 NULL 1.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000103 3.0 03-01-2000 NULL NULL NULL NULL 0.2 NULL 1.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000104 4.0 04-01-2000 NULL NULL NULL NULL 0.2 NULL 2.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000105 5.0 05-01-2000 NULL NULL NULL NULL 0.0 NULL 0.8 NULL NULL NULL NULL NULL NULL NULL NULL
20000106 6.0 06-01-2000 NULL NULL NULL NULL 2.8 NULL 1.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000107 7.0 07-01-2000 NULL NULL NULL NULL 0.0 NULL 1.8 NULL NULL NULL NULL NULL NULL NULL NULL
20000108 8.0 08-01-2000 NULL NULL NULL NULL 0.0 NULL 1.8 NULL NULL NULL NULL NULL NULL NULL NULL
20000109 9.0 09-01-2000 NULL NULL NULL NULL 0.0 NULL 2.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000110 10.0 10-01-2000 NULL NULL NULL NULL 0.2 NULL 3.0 NULL NULL NULL NULL NULL NULL NULL NULL
20000111 11.0 11-01-2000 NULL NULL NULL NULL 0.0 NULL 2.2 NULL NULL NULL NULL NULL NULL NULL NULL
20000112 12.0 12-01-2000 NULL NULL NULL NULL 0.0 NULL 2.1 NULL NULL NULL NULL NULL NULL NULL NULL
20000113 13.0 13-01-2000 NULL NULL NULL NULL 4.0 NULL 0.9 NULL NULL NULL NULL NULL NULL NULL NULL
20000114 14.0 14-01-2000 NULL NULL NULL NULL 0.2 NULL 2.3 NULL NULL NULL NULL NULL NULL NULL NULL
