  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.2500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       2.000000      -2.000000    
     1  0.2483013      0.1248604E-02   0.000000     -0.1698750E-02  0.1248604E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.2000000E-02  0.4501457E-03  0.1549854E-02 -0.1301043E-17   1.991498      -1.991498    
    31  0.2603541      0.8316993E-02   0.000000      0.1205281E-01  0.7068389E-02   0.000000      0.7080000E-01   0.000000      0.3441634E-01   0.000000      0.3441634E-01   0.000000      0.3441634E-01   0.000000      0.7445000E-01  0.1726245E-01  0.5718755E-01  0.3122502E-16   2.051455      -2.051455    
    59  0.2182298      0.3553085E-02   0.000000     -0.4212425E-01 -0.4763909E-02   0.000000      0.6800000E-02   0.000000      0.3438206E-01   0.000000      0.3438206E-01   0.000000      0.3438206E-01   0.000000      0.8970000E-01  0.1930610E-01  0.7039390E-01  0.3382711E-16   1.837912      -1.837912    
    90  0.2042956      0.1993908E-02   0.000000     -0.1393423E-01 -0.1559177E-02   0.000000      0.2180000E-01   0.000000      0.1640392E-01   0.000000      0.1640392E-01   0.000000      0.1640392E-01   0.000000      0.1169500      0.2088950E-01  0.9606051E-01  0.3209238E-16   1.764563      -1.764563    
   120  0.2470533      0.6391377E-02   0.000000      0.4275770E-01  0.4397470E-02   0.000000      0.1022000       0.000000      0.3168087E-01   0.000000      0.3168087E-01   0.000000      0.3168087E-01   0.000000      0.1057000      0.2336396E-01  0.8233604E-01  0.5117434E-16   1.985240      -1.985240    
   151  0.2431730      0.6412139E-02   0.000000     -0.3880243E-02  0.2076153E-04   0.000000      0.9980000E-01   0.000000      0.6265066E-01   0.000000      0.6265066E-01   0.000000      0.6265066E-01   0.000000      0.1655000      0.4100882E-01  0.1244912     -0.2740863E-15   1.965723      -1.965723    
   181  0.1765929      0.1384642E-02   0.000000     -0.6658011E-01 -0.5027497E-02   0.000000      0.6000000E-03   0.000000      0.2187120E-01   0.000000      0.2187120E-01   0.000000      0.2187120E-01   0.000000      0.2764000      0.5033641E-01  0.2260636     -0.1066855E-15   1.613875      -1.613875    
   212  0.1359747      0.4058230E-03   0.000000     -0.4061824E-01 -0.9788186E-03   0.000000       0.000000       0.000000      0.5294265E-02   0.000000      0.5294265E-02   0.000000      0.5294265E-02   0.000000      0.2715000      0.3630280E-01  0.2351972     -0.1071192E-15   1.378192      -1.378192    
   243  0.1100560      0.1523175E-03   0.000000     -0.2591868E-01 -0.2535055E-03   0.000000      0.4000000E-03   0.000000      0.1709143E-02   0.000000      0.1709143E-02   0.000000      0.1709143E-02   0.000000      0.2398750      0.2486304E-01  0.2150120     -0.6830474E-16   1.215353      -1.215353    
   273  0.1111241      0.1206383E-03   0.000000      0.1068126E-02 -0.3167927E-04   0.000000      0.1640000E-01   0.000000      0.7204299E-03   0.000000      0.7204299E-03   0.000000      0.7204299E-03   0.000000      0.1657750      0.1464312E-01  0.1511319     -0.3118436E-16   1.222307      -1.222307    
   304  0.1104796      0.1483700E-03   0.000000     -0.6445110E-03  0.2773175E-04   0.000000      0.1120000E-01   0.000000      0.8266283E-03   0.000000      0.8266283E-03   0.000000      0.8266283E-03   0.000000      0.1195000      0.1099015E-01  0.1085098     -0.1478581E-16   1.218113      -1.218113    
   334  0.1517354      0.5939637E-03   0.000000      0.4125575E-01  0.4455937E-03   0.000000      0.5020000E-01   0.000000      0.1351393E-02   0.000000      0.1351393E-02   0.000000      0.1351393E-02   0.000000      0.6850000E-01  0.7147269E-02  0.6135273E-01 -0.3035766E-17   1.472067      -1.472067    
   365  0.3037116      0.1879711E-01   0.000000      0.1519763      0.1820314E-01   0.000000      0.2014000       0.000000      0.1840357E-01   0.000000      0.1840357E-01   0.000000      0.1840357E-01   0.000000      0.6530000E-01  0.1281700E-01  0.5248300E-01 -0.2844947E-15   2.260724      -2.260724    
   396  0.2749577      0.1130423E-01   0.000000     -0.2875398E-01 -0.7492880E-02   0.000000      0.8920000E-01   0.000000      0.1012130       0.000000      0.1012130       0.000000      0.1012130       0.000000      0.8755000E-01  0.2423390E-01  0.6331610E-01  0.1040834E-15   2.123007      -2.123007    
   424  0.2541387      0.7495516E-02   0.000000     -0.2081895E-01 -0.3808713E-02   0.000000      0.4840000E-01   0.000000      0.5830450E-01   0.000000      0.5830450E-01   0.000000      0.5830450E-01   0.000000      0.5927880E-01  0.1472317E-01  0.4455564E-01 -0.1040834E-16   2.020643      -2.020643    
   455  0.2728829      0.1057950E-01   0.000000      0.1874423E-01  0.3083988E-02   0.000000      0.1308000       0.000000      0.9156324E-01   0.000000      0.9156324E-01   0.000000      0.9156324E-01   0.000000      0.6371848E-01  0.1740855E-01  0.4630993E-01  0.3747003E-15   2.112912      -2.112912    
   485  0.2232628      0.3943469E-02   0.000000     -0.4962011E-01 -0.6636035E-02   0.000000       0.000000       0.000000      0.4230657E-01   0.000000      0.4230657E-01   0.000000      0.4230657E-01   0.000000      0.6315489E-01  0.1394957E-01  0.4920532E-01  0.6852158E-16   1.864047      -1.864047    
   516  0.1951777      0.2060558E-02   0.000000     -0.2808508E-01 -0.1882911E-02   0.000000      0.1200000E-02   0.000000      0.1881926E-01   0.000000      0.1881926E-01   0.000000      0.1881926E-01   0.000000      0.6680163E-01  0.1234873E-01  0.5445290E-01 -0.4336809E-17   1.715723      -1.715723    
   546  0.1754393      0.1244665E-02   0.000000     -0.1973848E-01 -0.8158928E-03   0.000000      0.2000000E-03   0.000000      0.1005393E-01   0.000000      0.1005393E-01   0.000000      0.1005393E-01   0.000000      0.6613859E-01  0.1070045E-01  0.5543814E-01  0.4531965E-16   1.607443      -1.607443    
   577  0.1593484      0.7941269E-03   0.000000     -0.1609087E-01 -0.4505386E-03   0.000000       0.000000       0.000000      0.6414717E-02   0.000000      0.6414717E-02   0.000000      0.6414717E-02   0.000000      0.6988478E-01  0.1012669E-01  0.5975809E-01  0.1940722E-16   1.516251      -1.516251    
   608  0.1460602      0.5304938E-03   0.000000     -0.1328816E-01 -0.2636330E-03   0.000000       0.000000       0.000000      0.4173103E-02   0.000000      0.4173103E-02   0.000000      0.4173103E-02   0.000000      0.7145163E-01  0.9378688E-02  0.6207294E-01 -0.9118140E-16   1.438655      -1.438655    
   638  0.2514676      0.2659604E-02   0.000000      0.1054074      0.2129111E-02   0.000000      0.1214000       0.000000      0.4064948E-02   0.000000      0.4064948E-02   0.000000      0.4064948E-02   0.000000      0.7063859E-01  0.9798556E-02  0.6084003E-01 -0.9931292E-16   2.007332      -2.007332    
   669  0.2514342      0.7155461E-02   0.000000     -0.3341234E-04  0.4495857E-02   0.000000      0.6100000E-01   0.000000      0.3930391E-01   0.000000      0.3930391E-01   0.000000      0.3930391E-01   0.000000      0.7453478E-01  0.1723365E-01  0.5730114E-01 -0.1379105E-15   2.007165      -2.007165    
   699  0.2548173      0.7666564E-02   0.000000      0.3383111E-02  0.5111026E-03   0.000000      0.8520000E-01   0.000000      0.6276085E-01   0.000000      0.6276085E-01   0.000000      0.6276085E-01   0.000000      0.7362228E-01  0.1854494E-01  0.5507734E-01  0.2151057E-15   2.024018      -2.024018    
   730  0.3186999      0.2632514E-01   0.000000      0.6388254E-01  0.1865858E-01   0.000000      0.2502000       0.000000      0.1448185       0.000000      0.1448185       0.000000      0.1448185       0.000000      0.7761794E-01  0.2284040E-01  0.5477754E-01  0.5898060E-16   2.331005      -2.331005    
   761  0.2601507      0.8514243E-02   0.000000     -0.5854917E-01 -0.1781090E-01   0.000000      0.5080000E-01   0.000000      0.1059137       0.000000      0.1059137       0.000000      0.1059137       0.000000      0.7918478E-01  0.2124641E-01  0.5793837E-01  0.2983724E-15   2.050450      -2.050450    
   790  0.2222618      0.3623227E-02   0.000000     -0.3788887E-01 -0.4891017E-02   0.000000      0.9800000E-02   0.000000      0.3509601E-01   0.000000      0.3509601E-01   0.000000      0.3509601E-01   0.000000      0.8187283E-01  0.1748388E-01  0.6438895E-01  0.7979728E-16   1.858863      -1.858863    
   821  0.2404114      0.5630928E-02   0.000000      0.1814955E-01  0.2007701E-02   0.000000      0.8040000E-01   0.000000      0.3676652E-01   0.000000      0.3676652E-01   0.000000      0.3676652E-01   0.000000      0.1045000      0.2347622E-01  0.8102378E-01 -0.5377643E-16   1.951776      -1.951776    
   851  0.2251309      0.4286690E-02   0.000000     -0.1528045E-01 -0.1344238E-02   0.000000      0.5780000E-01   0.000000      0.4159807E-01   0.000000      0.4159807E-01   0.000000      0.4159807E-01   0.000000      0.1459000      0.3282662E-01  0.1130734     -0.1734723E-17   1.873701      -1.873701    
   882  0.1878642      0.1815907E-02   0.000000     -0.3726670E-01 -0.2470783E-02   0.000000      0.1900000E-01   0.000000      0.2090167E-01   0.000000      0.2090167E-01   0.000000      0.2090167E-01   0.000000      0.2035000      0.3783581E-01  0.1656642     -0.7546047E-16   1.676028      -1.676028    
