  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.2500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       2.000000      -2.000000    
    31  0.2603541      0.8316993E-02   0.000000      0.1035406E-01  0.8316993E-02   0.000000      0.7080000E-01   0.000000      0.3441634E-01   0.000000      0.3441634E-01   0.000000      0.3441634E-01   0.000000      0.7645000E-01  0.1771260E-01  0.5873740E-01  0.2949030E-16   2.000000      -2.000000    
    59  0.2182298      0.3553085E-02   0.000000     -0.4212425E-01 -0.4763909E-02   0.000000      0.6800000E-02   0.000000      0.3438206E-01   0.000000      0.3438206E-01   0.000000      0.3438206E-01   0.000000      0.8970000E-01  0.1930610E-01  0.7039390E-01  0.3382711E-16   2.000000      -2.000000    
    90  0.2042956      0.1993908E-02   0.000000     -0.1393423E-01 -0.1559177E-02   0.000000      0.2180000E-01   0.000000      0.1640392E-01   0.000000      0.1640392E-01   0.000000      0.1640392E-01   0.000000      0.1169500      0.2088950E-01  0.9606051E-01  0.3209238E-16   2.000000      -2.000000    
   120  0.2470533      0.6391377E-02   0.000000      0.4275770E-01  0.4397470E-02   0.000000      0.1022000       0.000000      0.3168087E-01   0.000000      0.3168087E-01   0.000000      0.3168087E-01   0.000000      0.1057000      0.2336396E-01  0.8233604E-01  0.5117434E-16   2.000000      -2.000000    
   151  0.2500000      0.6565938E-02   0.000000      0.2946724E-02  0.1745604E-03   0.000000      0.9980000E-01  0.7043812E-02  0.6265066E-01   0.000000      0.6265066E-01  0.3521906E-02  0.5912876E-01   0.000000      0.1655000      0.4107187E-01  0.1244281     -0.2610759E-15   2.000000      -2.000000    
   181  0.2500000      0.6345998E-02   0.000000       0.000000     -0.2199398E-03   0.000000      0.6000000E-03  0.9992342E-01  0.3829593E-01   0.000000      0.3829593E-01  0.4996171E-01 -0.1166578E-01   0.000000      0.2764000      0.6244743E-01  0.2139526      0.2983724E-15   2.000000      -2.000000    
   212  0.2500000      0.6345998E-02   0.000000       0.000000       0.000000       0.000000       0.000000      0.1006856      0.3934519E-01   0.000000      0.3934519E-01  0.5034278E-01 -0.1099759E-01   0.000000      0.2715000      0.6134037E-01  0.2101596      0.3191891E-15   2.000000      -2.000000    
   243  0.2500000      0.6345998E-02   0.000000       0.000000       0.000000       0.000000      0.4000000E-03  0.9314048E-01  0.3934519E-01   0.000000      0.3934519E-01  0.4657024E-01 -0.7225052E-02   0.000000      0.2398750      0.5419529E-01  0.1856797      0.2220446E-15   2.000000      -2.000000    
   273  0.2351586      0.4598693E-02   0.000000     -0.1484137E-01 -0.1747305E-02   0.000000      0.1640000E-01  0.4048787E-01  0.3668303E-01   0.000000      0.3668303E-01  0.2024393E-01  0.1643910E-01   0.000000      0.1657750      0.3679351E-01  0.1289815      0.1526557E-15   2.000000      -2.000000    
   304  0.2033504      0.2535838E-02   0.000000     -0.3180823E-01 -0.2062855E-02   0.000000      0.1120000E-01   0.000000      0.2198555E-01   0.000000      0.2198555E-01   0.000000      0.2198555E-01   0.000000      0.1195000      0.2308554E-01  0.9641446E-01 -0.2992398E-16   2.000000      -2.000000    
   334  0.2242150      0.3849475E-02   0.000000      0.2086464E-01  0.1313637E-02   0.000000      0.5020000E-01   0.000000      0.1545542E-01   0.000000      0.1545542E-01   0.000000      0.1545542E-01   0.000000      0.6850000E-01  0.1256630E-01  0.5593370E-01  0.7546047E-16   2.000000      -2.000000    
   365  0.3297948      0.3108259E-01   0.000000      0.1055798      0.2723311E-01   0.000000      0.2014000       0.000000      0.5224401E-01   0.000000      0.5224401E-01   0.000000      0.5224401E-01   0.000000      0.6530000E-01  0.1634307E-01  0.4895693E-01  0.1318390E-15   2.000000      -2.000000    
   396  0.2792669      0.1229129E-01   0.000000     -0.5052794E-01 -0.1879129E-01   0.000000      0.8920000E-01   0.000000      0.1333088       0.000000      0.1333088       0.000000      0.1333088       0.000000      0.8755000E-01  0.2521042E-01  0.6233958E-01 -0.1387779E-16   2.000000      -2.000000    
   424  0.2556407      0.7725789E-02   0.000000     -0.2362625E-01 -0.4565501E-02   0.000000      0.4840000E-01   0.000000      0.6170343E-01   0.000000      0.6170343E-01   0.000000      0.6170343E-01   0.000000      0.5927880E-01  0.1488832E-01  0.4439048E-01 -0.4380177E-15   2.000000      -2.000000    
