  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.2500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       50.50000      -50.50000    
     1  0.2483013      0.1248604E-02   0.000000     -0.1698750E-02  0.1248604E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.2000000E-02  0.4501457E-03  0.1549854E-02 -0.1301043E-17   50.32644      -50.32644    
     2  0.2466678      0.2457601E-02   0.000000     -0.1633439E-02  0.1208997E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.1900000E-02  0.4244413E-03  0.1475559E-02 -0.2602085E-17   50.15900      -50.15900    
     3  0.2452724      0.3631501E-02   0.000000     -0.1395438E-02  0.1173900E-02   0.000000      0.2000000E-03   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.1900000E-02  0.4215389E-03  0.1478461E-02 -0.1279359E-16   50.01553      -50.01553    
     4  0.2438890      0.4773943E-02   0.000000     -0.1383368E-02  0.1142442E-02   0.000000      0.2000000E-03   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.2000000E-02  0.4409255E-03  0.1559075E-02 -0.1799776E-16   49.87290      -49.87290    
     5  0.2426009      0.5886799E-02   0.000000     -0.1288151E-02  0.1112856E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.8000000E-03  0.1752947E-03  0.6247053E-03 -0.1279359E-16   49.73973      -49.73973    
     6  0.2440668      0.5752997E-02   0.000000      0.1465990E-02 -0.1338019E-03   0.000000      0.2800000E-02   0.000000      0.1248604E-02   0.000000      0.1248604E-02   0.000000      0.1248604E-02   0.000000      0.1000000E-02  0.2192076E-03  0.7807924E-03  0.2759295E-16   49.89126      -49.89126    
     7  0.2425580      0.5658336E-02   0.000000     -0.1508871E-02 -0.9466120E-04   0.000000       0.000000       0.000000      0.1208997E-02   0.000000      0.1208997E-02   0.000000      0.1208997E-02   0.000000      0.1800000E-02  0.3945353E-03  0.1405465E-02 -0.9703609E-17   49.73529      -49.73529    
     8  0.2410841      0.5566452E-02   0.000000     -0.1473852E-02 -0.9188380E-04   0.000000       0.000000       0.000000      0.1173900E-02   0.000000      0.1173900E-02   0.000000      0.1173900E-02   0.000000      0.1800000E-02  0.3918364E-03  0.1408164E-02 -0.2233456E-16   49.58249      -49.58249    
     9  0.2395796      0.5474525E-02   0.000000     -0.1504517E-02 -0.9192697E-04   0.000000       0.000000       0.000000      0.1142442E-02   0.000000      0.1142442E-02   0.000000      0.1142442E-02   0.000000      0.2100000E-02  0.4540022E-03  0.1645998E-02 -0.2222614E-17   49.42603      -49.42603    
