  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0   75.00000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       228.0799      -78.07990    
     1   74.99801      0.1269119E-02   0.000000     -0.1992088E-02  0.1269119E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.2000000E-02  0.7229697E-03  0.1277030E-02  0.1968044E-14   228.0799      -78.07990    
     2   74.99605      0.2538076E-02   0.000000     -0.1955759E-02  0.1268958E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.1900000E-02  0.6868010E-03  0.1213199E-02  0.8626780E-14   228.0799      -78.07990    
     3   74.99430      0.3806883E-02   0.000000     -0.1755589E-02  0.1268807E-02   0.000000      0.2000000E-03   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.1900000E-02  0.6867819E-03  0.1213218E-02  0.6739834E-14   228.0799      -78.07990    
     4   74.99250      0.5075546E-02   0.000000     -0.1791572E-02  0.1268663E-02   0.000000      0.2000000E-03   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.2000000E-02  0.7229093E-03  0.1277091E-02  0.2930598E-14   228.0799      -78.07990    
     5   74.99095      0.6344072E-02   0.000000     -0.1557683E-02  0.1268526E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.8000000E-03  0.2891565E-03  0.5108436E-03 -0.1036280E-13   228.0799      -78.07990    
     6   74.99212      0.6343464E-02   0.000000      0.1170045E-02 -0.6079414E-06   0.000000      0.2800000E-02   0.000000      0.1269119E-02   0.000000      0.1269119E-02   0.000000      0.1269119E-02   0.000000      0.1000000E-02  0.3614445E-03  0.6385555E-03 -0.1277694E-13   228.0799      -78.07990    
     7   74.99020      0.6342986E-02   0.000000     -0.1919077E-02 -0.4777777E-06   0.000000       0.000000       0.000000      0.1268958E-02   0.000000      0.1268958E-02   0.000000      0.1268958E-02   0.000000      0.1800000E-02  0.6505965E-03  0.1149403E-02 -0.4568286E-14   228.0799      -78.07990    
     8   74.98828      0.6342504E-02   0.000000     -0.1918902E-02 -0.4828813E-06   0.000000       0.000000       0.000000      0.1268807E-02   0.000000      0.1268807E-02   0.000000      0.1268807E-02   0.000000      0.1800000E-02  0.6505779E-03  0.1149422E-02  0.1544121E-14   228.0799      -78.07990    
     9   74.98625      0.6342004E-02   0.000000     -0.2027149E-02 -0.4990577E-06   0.000000       0.000000       0.000000      0.1268663E-02   0.000000      0.1268663E-02   0.000000      0.1268663E-02   0.000000      0.2100000E-02  0.7589852E-03  0.1341015E-02 -0.1574370E-14   228.0799      -78.07990    
