parnme,partrans,parchlim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
crfac,log,factor,ini,0.001,3,crfac,1,0,1
f1,log,factor,ini,1.00E-05,10000,fac1,1,0,1
f2,log,factor,ini,1.00E-05,10000,fac2,1,0,1
gamma,log,factor,ini,0.001,100,gamma,1,0,1
gwirfr,log,factor,ini,0.001,1,gwirfr,1,0,1
irigvf,log,factor,ini,0.001,1,irigvf,1,0,1
ks,log,factor,ini,1.00E-05,1.00E+04,ks,1,0,1
l,log,factor,ini,0.1,1,l,1,0,1
m,log,factor,ini,0.01,10,m,1,0,1
maxvol,log,factor,ini,0.001,10,maxvol,1,0,1
mdelay,log,factor,ini,0.001,10,mdelay,1,0,1
mfmax,log,factor,ini,0.1,1,mfmax,1,0,1
offset,none,relative,ini,-1000,10000,offset,1,0,1
power,none,relative,ini,-3,3,power,1,0,1
rdelay,log,factor,ini,0.001,50,rdelay,1,0,1
elevmin,none,relative,ini,-1000,10000,offset,1,0,1
elevmax,none,relative,ini,-1000,10000,offset,1,0,1
