pagrnme,inctyp,derinc,derinclb,forcen,derincmul,dermthd
maxvol,relative,0.015,0.00005,switch,2,parabolic
irigvf,relative,0.015,0.0001,switch,2,parabolic
rdelay,relative,0.015,0.0001,switch,2,parabolic
mdelay,relative,0.015,0.0001,switch,2,parabolic
ks,relative,0.015,0,switch,2,parabolic
m,relative,0.015,0,switch,2,parabolic
l,relative,0.015,0,switch,2,parabolic
mfmax,relative,0.015,0.0001,switch,2,parabolic
offset,absolute,0.1,0,switch,2,parabolic
f1,relative,0.015,0,switch,2,parabolic
f2,relative,0.015,0,switch,2,parabolic
power,absolute,0.015,0,switch,2,parabolic
gwirfr,relative,0.015,0.0001,switch,2,parabolic
crfac,relative,0.015,0.0001,switch,2,parabolic
gamma,relative,0.015,0,switch,2,parabolic
elevmin,absolute,0.1,0,switch,2,parabolic
elevmax,absolute,0.1,0,switch,2,parabolic
